Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Alberta (00048)   20000,  Female,Total - Detailed Mother Tongue,1253050,1143830,1040,89255,18925
Alberta (00048)   20000,  Female,Single responses,1237680,1131285,1020,86635,18730
Alberta (00048)   20000,  Female,  English,1007890,952255,20,55265,350
Alberta (00048)   20000,  Female,  French,26620,2190,860,23565,10
Alberta (00048)   20000,  Female,  Non-official languages,203165,176835,140,7810,18375
Alberta (00048)   20000,  Female,    Aboriginal languages,11760,11070,0,140,540
Alberta (00048)   20000,  Female,      Algonquian languages,9285,8785,10,95,390
Alberta (00048)   20000,  Female,        Algonquin,-,-,-,-,-
Alberta (00048)   20000,  Female,        Attikamek,-,-,-,-,-
Alberta (00048)   20000,  Female,        Blackfoot,1715,1700,0,0,15
Alberta (00048)   20000,  Female,        Cree,7200,6735,0,90,365
Alberta (00048)   20000,  Female,        Malecite,0,0,0,0,0
Alberta (00048)   20000,  Female,        Micmac,15,10,0,0,0
Alberta (00048)   20000,  Female,        Montagnais-Naskapi,0,0,0,0,0
Alberta (00048)   20000,  Female,        Ojibway,320,300,0,0,15
Alberta (00048)   20000,  Female,        Oji-Cree,-,-,-,-,-
Alberta (00048)   20000,  Female,"        Algonquian languages, n.i.e.",40,40,0,0,0
Alberta (00048)   20000,  Female,      Athapaskan languages,1020,925,0,20,70
Alberta (00048)   20000,  Female,        Carrier,0,0,0,0,0
Alberta (00048)   20000,  Female,        Chilcotin,0,0,0,0,0
Alberta (00048)   20000,  Female,        Chipewyan,370,345,0,10,15
Alberta (00048)   20000,  Female,        Dene,-,-,-,-,-
Alberta (00048)   20000,  Female,        Dogrib,20,20,0,0,0
Alberta (00048)   20000,  Female,        Kutchin-Gwich'in (Loucheux),15,10,0,0,0
Alberta (00048)   20000,  Female,        North Slave (Hare),0,0,0,0,0
Alberta (00048)   20000,  Female,        South Slave,445,385,0,10,55
Alberta (00048)   20000,  Female,"        Athapaskan languages, n.i.e.",165,160,0,0,0
Alberta (00048)   20000,  Female,      Haida,0,0,0,0,0
Alberta (00048)   20000,  Female,      Iroquoian languages,10,10,0,0,0
Alberta (00048)   20000,  Female,        Mohawk,0,10,0,0,0
Alberta (00048)   20000,  Female,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,  Female,      Kutenai,0,0,0,0,0
Alberta (00048)   20000,  Female,      Salish languages,10,10,0,0,0
Alberta (00048)   20000,  Female,        Shuswap,-,-,-,-,-
Alberta (00048)   20000,  Female,        Thompson (Ntlakapamux),-,-,-,-,-
Alberta (00048)   20000,  Female,"        Salish languages, n.i.e.",0,10,0,0,0
Alberta (00048)   20000,  Female,      Siouan languages,1270,1185,10,15,75
Alberta (00048)   20000,  Female,        Dakota/Sioux,1275,1185,0,15,75
Alberta (00048)   20000,  Female,      Tlingit,0,0,0,0,0
Alberta (00048)   20000,  Female,      Tsimshian languages,0,0,0,0,0
Alberta (00048)   20000,  Female,        Tsimshian,0,0,0,0,0
Alberta (00048)   20000,  Female,        Gitksan,-,-,-,-,-
Alberta (00048)   20000,  Female,        Nishga,-,-,-,-,-
Alberta (00048)   20000,  Female,      Wakashan languages,0,0,0,0,0
Alberta (00048)   20000,  Female,        Nootka,-,-,-,-,-
Alberta (00048)   20000,  Female,"        Wakashan languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,  Female,      Inuktitut (Eskimo),70,70,0,0,0
Alberta (00048)   20000,  Female,"      Aboriginal languages, n.i.e.",95,90,0,0,0
Alberta (00048)   20000,  Female,    Romance languages,17865,14505,45,1435,1875
Alberta (00048)   20000,  Female,      Italian,6710,5695,10,550,455
Alberta (00048)   20000,  Female,      Portuguese,2695,2050,20,270,355
Alberta (00048)   20000,  Female,      Romanian,730,610,10,90,20
Alberta (00048)   20000,  Female,      Spanish,7685,6125,15,500,1045
Alberta (00048)   20000,  Female,"      Romance languages, n.i.e.",45,20,0,25,0
Alberta (00048)   20000,  Female,    Germanic languages,55590,52205,15,2260,1105
