Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,  Male,      Malayalam,45,40,0,0,0
Manitoba (00046)   20000,  Male,      Tamil,180,175,0,0,0
Manitoba (00046)   20000,  Male,      Telugu,30,30,0,0,0
Manitoba (00046)   20000,  Male,"      Dravidian languages, n.i.e.",25,20,0,0,10
Manitoba (00046)   20000,  Male,    Japanese,195,195,0,0,0
Manitoba (00046)   20000,  Male,    Korean,380,285,0,0,95
Manitoba (00046)   20000,  Male,    Sino-Tibetan languages,4895,3995,0,85,820
Manitoba (00046)   20000,  Male,      Chinese,4885,3980,0,80,820
Manitoba (00046)   20000,  Male,"      Sino-Tibetan languages, n.i.e.",15,15,0,0,10
Manitoba (00046)   20000,  Male,    Tai languages,480,375,0,40,65
Manitoba (00046)   20000,  Male,      Lao,470,365,0,35,70
Manitoba (00046)   20000,  Male,      Thai,10,10,0,0,0
Manitoba (00046)   20000,  Male,    Austro-Asiatic languages,1755,1395,10,65,295
Manitoba (00046)   20000,  Male,      Khmer (Cambodian),215,175,10,10,25
Manitoba (00046)   20000,  Male,      Vietnamese,1545,1225,0,55,265
Manitoba (00046)   20000,  Male,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,    Malayo-Polynesian languages,6495,6275,0,45,180
Manitoba (00046)   20000,  Male,      Malay-Bahasa,100,100,0,0,0
Manitoba (00046)   20000,  Male,      Tagalog (Pilipino),6195,5980,0,40,175
Manitoba (00046)   20000,  Male,"      Malayo-Polynesian languages, n.i.e.",200,190,0,0,10
Manitoba (00046)   20000,  Male,"    Asiatic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,    Niger-Congo languages,175,170,0,10,0
Manitoba (00046)   20000,  Male,      Bantu languages,95,90,0,10,0
Manitoba (00046)   20000,  Male,        Swahili,10,15,0,0,0
Manitoba (00046)   20000,  Male,"        Bantu languages, n.i.e.",80,75,0,0,0
Manitoba (00046)   20000,  Male,      Twi,-,-,-,-,-
Manitoba (00046)   20000,  Male,"      Niger-Congo languages, n.i.e.",80,75,0,10,0
Manitoba (00046)   20000,  Male,"    African languages, n.i.e.",50,50,0,0,0
Manitoba (00046)   20000,  Male,    Creoles,25,10,0,10,0
Manitoba (00046)   20000,  Male,    Other languages,195,130,0,0,60
Manitoba (00046)   20000,  Male,Multiple responses,9090,7670,10,1365,50
Manitoba (00046)   20000,  Male,  English and French,1475,420,0,1055,0
Manitoba (00046)   20000,  Male,  English and non-official language,7425,7160,0,215,55
Manitoba (00046)   20000,  Male,  French and non-official language,135,55,0,75,0
Manitoba (00046)   20000,  Male,"  English, French and non-official language",60,35,0,25,0
Manitoba (00046)   20000,  Female,Total - Detailed Mother Tongue,545680,483735,1100,53055,7790
Manitoba (00046)   20000,  Female,Single responses,536235,475840,1095,51590,7710
Manitoba (00046)   20000,  Female,  English,394135,368345,25,25640,125
Manitoba (00046)   20000,  Female,  French,25425,1550,1035,22840,0
Manitoba (00046)   20000,  Female,  Non-official languages,116675,105950,35,3105,7580
Manitoba (00046)   20000,  Female,    Aboriginal languages,16015,14380,0,55,1575
Manitoba (00046)   20000,  Female,      Algonquian languages,15170,13620,0,50,1505
Manitoba (00046)   20000,  Female,        Algonquin,-,-,-,-,-
Manitoba (00046)   20000,  Female,        Attikamek,-,-,-,-,-
Manitoba (00046)   20000,  Female,        Blackfoot,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Cree,10805,9470,0,20,1310
Manitoba (00046)   20000,  Female,        Malecite,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Micmac,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Montagnais-Naskapi,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Ojibway,4350,4130,0,25,195
Manitoba (00046)   20000,  Female,        Oji-Cree,-,-,-,-,-
Manitoba (00046)   20000,  Female,"        Algonquian languages, n.i.e.",15,15,0,0,0
Manitoba (00046)   20000,  Female,      Athapaskan languages,345,285,0,10,45
Manitoba (00046)   20000,  Female,        Carrier,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Chilcotin,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Chipewyan,30,25,0,0,0
Manitoba (00046)   20000,  Female,        Dene,-,-,-,-,-
Manitoba (00046)   20000,  Female,        Dogrib,0,0,0,0,10
Manitoba (00046)   20000,  Female,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Manitoba (00046)   20000,  Female,        North Slave (Hare),0,0,0,0,0
Manitoba (00046)   20000,  Female,        South Slave,0,0,0,0,0
Manitoba (00046)   20000,  Female,"        Athapaskan languages, n.i.e.",315,265,0,10,45
Manitoba (00046)   20000,  Female,      Haida,0,0,0,0,0
Manitoba (00046)   20000,  Female,      Iroquoian languages,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Mohawk,0,0,0,0,0
Manitoba (00046)   20000,  Female,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Female,      Kutenai,0,0,0,0,0
Manitoba (00046)   20000,  Female,      Salish languages,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Shuswap,-,-,-,-,-
Manitoba (00046)   20000,  Female,        Thompson (Ntlakapamux),-,-,-,-,-
Manitoba (00046)   20000,  Female,"        Salish languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Female,      Siouan languages,310,290,0,0,20
Manitoba (00046)   20000,  Female,        Dakota/Sioux,315,295,0,0,20
Manitoba (00046)   20000,  Female,      Tlingit,0,0,0,0,0
Manitoba (00046)   20000,  Female,      Tsimshian languages,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Tsimshian,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Gitksan,-,-,-,-,-
Manitoba (00046)   20000,  Female,        Nishga,-,-,-,-,-
Manitoba (00046)   20000,  Female,      Wakashan languages,0,0,0,0,0
Manitoba (00046)   20000,  Female,        Nootka,-,-,-,-,-
Manitoba (00046)   20000,  Female,"        Wakashan languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Female,      Inuktitut (Eskimo),75,75,0,0,0
Manitoba (00046)   20000,  Female,"      Aboriginal languages, n.i.e.",110,105,0,0,0
