GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Canada,1,Male,Michif,230,195,0,35,5
Canada,1,Male,Salish languages,1130,1110,0,15,0
Canada,1,Male,Comox,40,45,0,0,0
Canada,1,Male,Halkomelem,230,230,0,0,0
Canada,1,Male,Lillooet,155,150,0,5,0
Canada,1,Male,Okanagan,135,135,0,0,0
Canada,1,Male,Shuswap (Secwepemctsin),225,215,0,5,0
Canada,1,Male,Squamish,15,20,0,0,0
Canada,1,Male,Straits,40,40,0,0,0
Canada,1,Male,Thompson (Ntlakapamux),145,145,0,0,0
Canada,1,Male,"Salish languages, n.i.e.",135,130,0,0,0
Canada,1,Male,Siouan languages,2070,2055,0,5,10
Canada,1,Male,Dakota,570,565,0,0,5
Canada,1,Male,Stoney,1465,1460,0,5,5
Canada,1,Male,"Siouan languages, n.i.e.",30,25,0,0,0
Canada,1,Male,Tlingit,40,40,0,5,0
Canada,1,Male,Tsimshian languages,725,725,0,0,0
Canada,1,Male,Gitxsan (Gitksan),435,435,0,0,0
Canada,1,Male,Nisga'a,200,200,0,5,0
Canada,1,Male,Tsimshian,90,90,0,0,0
Canada,1,Male,Wakashan languages,370,365,0,5,5
Canada,1,Male,Haisla,40,40,0,0,0
Canada,1,Male,Heiltsuk,45,45,0,0,0
Canada,1,Male,Kwakiutl (Kwak'wala),145,140,0,0,0
Canada,1,Male,Nuu-chah-nulth (Nootka),135,135,0,0,0
Canada,1,Male,"Wakashan languages, n.i.e.",10,5,0,0,0
Canada,1,Male,"Aboriginal languages, n.o.s.",295,265,15,15,5
Canada,1,Male,Non-Aboriginal languages,3406425,2616810,117295,416325,255990
Canada,1,Male,Afro-Asiatic languages,298065,164875,34240,78150,20795
Canada,1,Male,Berber languages,11860,170,6155,5280,265
Canada,1,Male,Kabyle,6995,105,3875,2840,175
Canada,1,Male,"Berber languages, n.i.e.",4870,65,2280,2440,85
Canada,1,Male,Cushitic languages,20100,17060,270,1765,995
Canada,1,Male,Bilen,450,380,0,10,55
Canada,1,Male,Oromo,2560,2400,0,45,110
Canada,1,Male,Somali,16895,14160,255,1670,810
Canada,1,Male,"Cushitic languages, n.i.e.",190,120,15,35,30
Canada,1,Male,Semitic languages,265470,147250,27745,70950,19520
Canada,1,Male,Amharic,10725,9885,20,560,255
Canada,1,Male,Arabic,220780,108310,27640,67875,16960
Canada,1,Male,Assyrian Neo-Aramaic,7905,6670,10,140,1090
Canada,1,Male,Chaldean Neo-Aramaic,2780,2310,5,60,400
Canada,1,Male,Harari,640,595,0,25,15
Canada,1,Male,Hebrew,10485,8395,50,1860,180
Canada,1,Male,Maltese,2760,2675,0,70,15
Canada,1,Male,Tigrigna,8305,7500,10,275,525
Canada,1,Male,"Semitic languages, n.i.e.",1085,900,10,80,95
Canada,1,Male,"Afro-Asiatic languages, n.i.e.",635,395,65,160,15
Canada,1,Male,Austro-Asiatic languages,81810,56845,4305,12030,8630
Canada,1,Male,Khmer (Cambodian),9270,4715,1400,2350,800
Canada,1,Male,Vietnamese,72470,52075,2900,9670,7825
Canada,1,Male,"Austro-Asiatic languages, n.i.e",70,50,5,5,0
Canada,1,Male,Austronesian languages,211580,204795,355,4515,1910
Canada,1,Male,Bikol,790,770,0,15,5
Canada,1,Male,Cebuano,7930,7705,5,155,65
Canada,1,Male,Fijian,400,385,0,5,10
Canada,1,Male,Hiligaynon,2675,2595,5,55,25
Canada,1,Male,Ilocano,10625,10260,5,200,160
Canada,1,Male,Malagasy,670,5,265,390,5
Canada,1,Male,Malay,5255,4855,10,290,105
Canada,1,Male,"Pampangan (Kapampangan, Pampango)",1865,1820,0,25,15
Canada,1,Male,Pangasinan,590,580,0,5,5
